開課序號,開課代碼,系所,組,年,班,全英語,MOOCS,限性別,中文課程名稱,英文課程名稱,學分,必/選,全/半,教師,地點時間,限修人數,選修人數,限修條件,備註,學期
4272,AAM1813,校際臺大（碩）,A,,,是,,,細胞分子生物學,Cell and Molecular Biology,3.0,選,半,趙本秀,三 2-4 請洽系所辦,1,0,◎課程不開放上修 ◎加退選全授權碼選課,工學院 ; 醫學工程學研究所 ; 上課教室：綜合504。 ; 限修學制：碩、博,1112
4354,AAM1814,校際臺大（碩）,A,,,,,,街頭藝術,Street Art,3.0,選,半,畢恆達,一 A-C 工綜313,2,2,◎課程不開放上修,工學院 ; 建築與城鄉研究所 ;   限修學制：碩,1112
4425,AAM1815,校際臺大（碩）,A,,,,,,農業生態與永續性,Agricultural Ecology and Sustainability,3.0,選,半,郭蕙如,二 2-4 生傳527室,1,1,◎課程不開放上修 ◎加退選全授權碼選課,生物資源暨農學院 ; 生物產業傳播暨發展學研究所 ;   限修學制：碩,1112
4430,AAM1816,校際臺大（碩）,A,,,,,,農業發展與傳播研究,Studies of Agricultural Development and Communication,3.0,選,半,梁朝雲,一 7-9 生傳502室,1,0,◎課程不開放上修,生物資源暨農學院 ; 生物產業傳播暨發展學研究所 ;   限修學制：碩,1112
4436,AAM1817,校際臺大（碩）,A,,,,,,運動科學訓練實務研究,Research on Scientific Exercise Training Practice,3.0,選,半,莊泰源,一 6-8 綜館R225,3,1,◎課程不開放上修,共同教育中心 ; 運動設施與健康管理碩士學位學程 ; 健康管理組選修課程。 ; 限修學制：碩、博,1112
4438,AAM1818,校際臺大（碩）,A,,,,,,運動能量生化及代謝研究,Exercise Biochemistry and Metabolism,3.0,選,半,蘇玫尹,四 2-4 綜館R225,3,2,◎課程不開放上修,共同教育中心 ; 運動設施與健康管理碩士學位學程 ; 健康管理組選修課程。 ; 限修學制：碩、博,1112
4468,AAM1819,校際臺大（碩）,A,,,,,,實用英文寫作,English Writing for Specific Purposes,3.0,選,半,陳巧玲,五 2-4 共405,1,0,◎課程不開放上修 ◎加退選全授權碼選課,教務處 ; 寫作教學中心 ;   限修學制：碩、博,1112
4492,AAM1820,校際臺大（碩）,A,,,,,,臺灣文學作家專題：張文環,Special Topics in Taiwanese Author:CHANG WEN-HUAN,3.0,選,半,張文薰,四 3-5 國青324,1,0,◎課程不開放上修 ◎加退選全授權碼選課,文學院 ; 臺灣文學研究所 ;   限修學制：碩、博,1112
4493,AAM1821,校際臺大（碩）,A,,,,,,臺灣古典文學史專題,Seminar on Taiwan Classic Literature History,3.0,選,半,黃美娥,五 7-9 國青324,1,0,◎課程不開放上修 ◎加退選全授權碼選課,文學院 ; 臺灣文學研究所 ;   限修學制：碩、博,1112
4495,AAM1822,校際臺大（碩）,A,,,,,,臺灣原住民族圖像與文學專題:東亞之眼,Indigenous Images and Literatures in Taiwan,3.0,選,半,孫大川,四 8-10 國青324,2,0,◎課程不開放上修 ◎加退選全授權碼選課,文學院 ; 臺灣文學研究所 ;   限修學制：碩、博,1112
4509,AAM1823,校際臺大（碩）,A,,,是,,,酷兒理論,Queer Theory,3.0,選,半,王莉思,二 2-4 外研三,2,0,◎課程不開放上修 ◎加退選全授權碼選課,文學院 ; 外國語文學研究所 ; 第一類。 ; 限修學制：碩、博,1112
